Claudio Capéo
Clémentine Célarié
Cléopâtre
Clint Eastwood
Clovis
Clovis Cornillac
Cobra
Coco Chanel
Coco Lapin
Cœur de pirate
Colin Farrell
Colin Firth
Coluche
Columbo
Confucius
Conjoint
Connor McLeod
Corto Maltese
Cosette
Courdeténis
Cousin
Cousin issu de germain
Cri-Cri d’amour
Cristiano Ronaldo
Cronos
Cuba Gooding Jr.
Cyrano de Bergerac
Cyril Hanouna
Dadju
Daenerys Targaryen
Daffy Duck
Dalida
Dalila
Dame
Damso
Dan Aykroyd
Dana Scully
Daniel Auteuil
Daniel Balavoine
Daniel Cohn-Bendit
Daniel Craig
Daniel Radcliffe
Danny DeVito
Danny Glover
Dante Alighieri
Dany Boon
Daredevil
Dark Vador
D'Artagnan
Daryl Dixon
David Beckham
David Bowie
David Douillet
David Fincher
David Guetta
David Hilbert
David Hume
David Livingstone
David Lynch
David Pujadas
David Ricardo
David Rockefeller
De Mesmaeker
Dédale
Déesse
Déméter
Demi Moore
Demi-frère
Demi-sœur
Denis Diderot
Denis Papin
Denis Podalydès
Denis Sassou-Nguesso
Dennis Quaid
Denver, le dernier dinosaure
Dexter
Dexter Morgan
Diam's
Diane
Diane Keaton
Diane Kruger
Diane Lane
Didier Bourdon
Didier Deschamps
Dido
Diego Maradona
Diego Vélasquez
Dingo
Diogène
Dionysos
Dmitri Chostakovitch
Dmitri Medvedev
Dmitri Mendeleïev
Docteur Emmett Brown ("Doc")
Docteur Quinn, femme médecin
Docteur Watson
Dom Juan
Dominique de Villepin
Don Camillo
Don Cheadle
Don Draper
Don Quichotte
Donald Duck
Donald Knuth
Donald Trump
Dora l'exploratrice
Dorian Gray
Doug Ross
Douze Apôtres
Dr Gregory House
Dr House
Dr Michaela Quinn Sully ("Docteur Quinn")
Drew Barrymore
Droopy
Duke Ellington
Dumbo
Dupond et Dupont
Dustin Hoffman
Dwayne Johnson
E.T.
E.T. l'extra-terrestre
Ed Harris
Ed Sheeran
Eddie Murphy
Eddy Merckx
Edgar Allan Poe
Edgar Degas
Édith Cresson
Édith Piaf
Edmund Husserl
Édouard Balladur
Édouard Manet
Edouard Philippe
Edward Norton
Edward Snowden
Élève
Elie Semoun
Elijah Wood
Élisabeth II
Élisabeth Rousset (Boule de Suif)
Elisabeth Shue
Elizabeth Bennet
Elizabeth Taylor
Ellen Ripley
Elon Musk
Elsa d'Arendelle
Elsa Zylberstein
Elton John
Elvis Presley
Émile Durkheim
Émile Louis
Émile Zola
Eminem
Emma Bovary
Emma Peel
Emma Stone
Emma Thompson
Emma Watson
Emmanuel Kant
Emmanuel Macron
Emmanuelle Béart
Emmanuelle Devos
Emmanuelle Seigner
Emmy Noether
Énée
Enfant
Enki Bilal
Enrico Fermi
Enya
Épicure
Epidemaïs
Érasme
Éric Cantona
Eric Cartman
Eric Clapton
Eric Judor
Éric Serra
Erik le Rouge
Erik Satie
Ernest Hemingway
Erwin Rommel
Erwin Schrödinger
Eschyle
Esmeralda
Ethel et Julius Rosenberg
Euclide
Eugène Ionesco
Eugénie Grandet
Euripide
Eurydice
Eusèbe
Eva Green
Eva Longoria
Évariste Galois
Ève
Évelyne Thomas
Evo Morales
Ewan McGregor
Fabien Barthez
Fabrice Luchini
Falbala
Famke Janssen
Fanny Ardant
Fantasio
Fatima
Faust
Fausto Coppi
Federico Fellini
Fenrir
Fernand de Magellan
Fernandel
Fidel Castro
Fifi brindacier
Fille
Fille adoptive
Filleul
Fils
Fils adoptif
Fiodor Dostoïevski
Flo Rida
Florence Arthaud
Florence Foresti
Florent Pagny
Forest Whitaker
Fox Mulder
France Gall
Francis Cabrel
Francis Ford Coppola
Francisco Franco
Francisco Pizarro
Franck Dubosc
Franck Ribéry
François Bayrou
François Berléand
François Cluzet
François Damiens
François d'Assise
François Feldman
François Fillon
François Hollande
François Ier
François Mitterrand
François Pignon
François Rabelais
François Truffaut
Françoise Sagan
François-René de Chateaubriand
François-Xavier Demaison
